UCR DESCRIPTION,DATE,TIME,ADDRESS,LATITUDE,LAT_JITTERED,LONGITUDE,ST NUM,PRIMARY ST,SECONDARY ST,REPORT,VIOLATION,PED AGE,DRIV  AGE,INJ
PEDESTRIAN,2012-01-11,21:00,"N MEADOWCROFT & MCCULLY, MT. LEBANON, PA",40.3874719,40.3872719,-80.0464982,,N MEADOWCROFT,MCCULLY,20120066,Hit & Run - Pedestrian brushed/struck in crosswalk,15,,1
PEDESTRIAN,2006-11-18,17:48,"ORCHARD & MT LEBANON, MT. LEBANON, PA",40.3673847,40.3673847,-80.0404554,,ORCHARD,MT LEBANON,20061824,Unit 1(Vehicle)-3542a (Right of way of pedestrians in crosswalk)-citation issued,45,63,1
PEDESTRIAN,2012-05-31,09:00,"RUTH & BOWER HILL, MT. LEBANON, PA",40.3805731,40.3807731,-80.0614493,,RUTH,BOWER HILL,20120860,Hit & Run - Pedestrian struck in roadway,37,,1
PEDESTRIAN,2008-06-14,00:19,"SCOTT & ADELINE, MT. LEBANON, PA",40.3553473,40.3551473,-80.0494982,,SCOTT,ADELINE,20080965,Unit 2 (Pedestrian) charged with Pedestrian crossing @ other than crosswalks-citation issued,44,32,1
PEDESTRIAN,2014-11-21,19:03,"SHADY E & WASHINGTON, MT. LEBANON, PA",40.3832105,40.3832105,-80.04387,,SHADY E,WASHINGTON,20142093,Veh (unit 1) cited for 3113a Ped Control Signals; Ped (Unit 2) not cited - Ped struck in crosswalk,28,52,1
PEDESTRIAN,2013-10-11,15:50,"WASHINGTON & ACADEMY, MT. LEBANON, PA",40.3823459,40.3825459,-80.0440683,,WASHINGTON,ACADEMY,20131566,Unit 1 (pedestrian) at fault for VC 3541b Pedestrian Control Signal - no citation issued - jogged into crosswalk against pedestrian light and struck in roadway; Unit 2 (veh) was not cited,14,25,1
PEDESTRIAN,2014-07-29,16:59,"WASHINGTON & ALFRED, MT. LEBANON, PA",40.3806821,40.3804821,-80.0444572,,WASHINGTON,ALFRED,20141380,Ped (unit 1) cited for 3542b Right of way of pedestrians in crosswalk; Veh (unit 2) not cited; pedestrian ran infront of vehicle,16,46,1
PEDESTRIAN,2008-07-08,10:50,"WASHINGTON & ALFRED, MT. LEBANON, PA",40.3806821,40.3806821,-80.0444572,,WASHINGTON,ALFRED,20081100,Unit 1 (Veh.) charged with Failure to yield right of way to Pedestrian in crosswalk-citation issued - Unit 2 (Ped.) charged w/ vc 3541b (Obed to traffic control devices)-citation issued,84,46,1
DEATH,2010-06-28,12:16,"WASHINGTON & BEADLING, MT. LEBANON, PA",40.3680805,40.3682805,-80.0492864,,WASHINGTON,BEADLING,20101079,Vehicle struck pedestrians in crosswalk - driver arrested for DUI,"36,1,3",20,1
PEDESTRIAN,2011-12-13,15:40,"WASHINGTON & BOWER HILL, MT. LEBANON, PA",40.3869458,40.3867458,-80.0437036,,WASHINGTON,BOWER HILL,20111889,Unit 1 (pedestrian) ran into crosswalk infront of vehicle - Unit 1 - no citations issued - note - when crosswalk active all traffic stopped,19,35,1
BICYCLE,2011-12-13,07:15,"WASHINGTON & CASTLE SHAN, MT. LEBANON, PA",40.3774973,40.3774973,-80.0464317,,WASHINGTON,CASTLE SHAN,,No report - bicyclist struck in roadway,54,88,0
PEDESTRIAN,2014-10-04,22:20,"WASHINGTON & CEDAR, MT. LEBANON, PA",40.3815051,40.3817051,-80.0442483,,WASHINGTON,CEDAR,20141844,Veh (unit 1) struck Pedestrian (unit 2) in roadway; unit 1 arrested for leaving scene; unit 2 walking against crosswalk; unit 1 arrested 3742a,28,49,1
BICYCLE,2007-05-14,13:09,"WASHINGTON & CEDAR, MT. LEBANON, PA",40.3815051,40.3813051,-80.0442483,,WASHINGTON,CEDAR,20070812,Unit 1 (Vehicle) cited 3322 Vehicle Turning Left - turned in front of bicycle,40,58,1
PEDESTRIAN,2006-08-22,16:10,"WASHINGTON & CEDAR, MT. LEBANON, PA",40.3815051,40.3815051,-80.0442483,,WASHINGTON,CEDAR,20061307,Unit 1(Vehicle)-vc3542a (Failure to yield to pedestrians in crosswalk)-citation issued,60,58,1
PEDESTRIAN,2010-04-07,11:55,"WASHINGTON & CENTRAL, MT. LEBANON, PA",40.3800898,40.3802898,-80.0447957,,WASHINGTON,CENTRAL,20100506,Unit 1 (Vehicle) cited for Right of way of pedestrians - struck pedestrian in crosswalk,3,61,1
PEDESTRIAN,2007-06-12,14:08,"WASHINGTON & CENTRAL, MT. LEBANON, PA",40.3800898,40.3798898,-80.0447957,,WASHINGTON,CENTRAL,20070985,Unit 2(Pedestrian)-vc3542b (Obedience of pedestrian to traffic)-citation issued-Do not walk signal,46,19,1
PEDESTRIAN,2014-07-25,18:03,"WASHINGTON & COCHRAN, MT. LEBANON, PA",40.3734138,40.3734138,-80.0488509,,WASHINGTON,COCHRAN,20141359,Unit 1 (Pedestrian) not cited for vc3543d ped crossing; unit 2 not cited,16,33,1
PEDESTRIAN,2011-08-08,21:10,"WASHINGTON & COCHRAN, MT. LEBANON, PA",40.3734138,40.3736138,-80.0488509,,WASHINGTON,COCHRAN,20111170,Unit 1 (pedestrian) at fault for 3541b Obedience of Ped to Traffic Control Device - jogged infront of veh at crosswalk against signal - no citations issued - note when signal active all traffic stopped,30,17,1
PEDESTRIAN,2010-03-24,20:42,"WASHINGTON & COCHRAN, MT. LEBANON, PA",40.3734138,40.3732138,-80.0488509,,WASHINGTON,COCHRAN,20100440,Pedestrian cited for Right of way of pedestrian in crosswalk - pedestrian jogging - ran into path of vehicle with Do Not Cross signal,27,50,1
PEDESTRIAN,2010-10-09,18:13,"WASHINGTON & LEBANON, MT. LEBANON, PA",40.377837,40.377837,-80.0461956,,WASHINGTON,LEBANON,20101694,Vehicle struck pedestrian in crosswalk - driver cited for 3113 Pedestrian Control Signals,7,17,1
PEDESTRIAN,2010-08-03,15:19,"WASHINGTON & LONGUEVUE, MT. LEBANON, PA",40.3664989,40.3666989,-80.048761,,WASHINGTON,LONGUEVUE,20101280,Vehicle struck pedestrian in crosswalk - driver cited for 3312 Traffic Control Signals Steady Red,26,54,1
PEDESTRIAN,2012-08-06,07:10,"WASHINGTON & MCFARLAND, MT. LEBANON, PA",40.3895132,40.3893132,-80.0416323,,WASHINGTON,MCFARLAND,20121237,Unit 1 (vehicle) cited for 3714 Careless Driving - struck pedestrian in crosswalk,53,61,1
PEDESTRIAN,2010-09-21,07:04,"WASHINGTON & MCFARLAND, MT. LEBANON, PA",40.3895132,40.3895132,-80.0416323,,WASHINGTON,MCFARLAND,20101567,Vehicle struck pedestrian in crosswalk - driver cited for 3113 Pedestrian Control Signals,32,59,1
PEDESTRIAN,2012-05-11,19:18,"WASHINGTON & SCOTT, MT. LEBANON, PA",40.3883942,40.3885942,-80.0429148,,WASHINGTON,SCOTT,20120740,Unit 1 (Pedestrian) cited for 3542b - Right of way of pedestrian in crosswalk - Unit 2 (veh) no cited -- Ped walked in crosswalk against the walk signal,54,71,1
BICYCLE,2008-06-10,18:45,"WASHINGTON & SHADY DR E, MT. LEBANON, PA",40.3832105,40.3830105,-80.04387,,WASHINGTON,SHADY DR E,20080933,Unit 1 (Pedestrian) charged w/ vc3113a (Ped control signals)-citation issued,13,37,1
PEDESTRIAN,2014-04-23,15:23,"WESLEY & BOWER HILL, MT. LEBANON, PA",40.3833054,40.3833054,-80.0564361,,WESLEY,BOWER HILL,20140714,Unit 1 (pedestrian) not cited for 3543a; Unit 2 (veh) not cited - pedestrian walked infront of veh at stop sign,12,49,1
PEDESTRIAN,2007-01-23,17:51,"WOODHAVEN & WASHINGTON, MT. LEBANON, PA",40.3666698,40.3668698,-80.0488341,,WOODHAVEN,WASHINGTON,20070159,Pedestrian control signals - crossing Woodhaven,59,57,1
